Stage,amh
TFD4,120.88
CFD0,79.64
CFD0,85.7
CFD0,75.73
CFD0,71.18
CFD0,80.95
TFD1,55.12
TFD1,49.87
TFD1,74.29
TFD2,156.1
TFD2,85.88
TFD2,93.19
TFD3,113.28
TFD3,67.46
TFD5,86.18
TFD5,78.22
TFD5,71.32
TFD6,92.2
TFD6,69.27
TFD6,77
TFD7,91.14
TFD7,160.52
TFD7,83.55
TPD7,994.31
TPD7,1285.63
TPD7,954.38
TPD7,614.86
TPD7,533.43
TPD7,1190.99
