,,amh,ctnnb1,cyp11c1,cyp19a1a,dmrt1,dnmt1,dnmt3aa,fancl,foxl2a,jarid2b,kdm6bb,nr3c1,nr3c2,pou5f3,sox9a,znrf3
TF,20190123_4110-hyb07_4110-82_10.RCC,92.2,4479.74,3.8,407.77,916.29,34151.69,31.37,890.62,272.8,4820.97,1505.6,453.39,60.83,45749.76,176.79,1739.43
TF,20190123_4110-hyb07_4110-83_11.RCC,69.27,3923.65,1.9,220.14,815.09,32022.13,25.62,705.02,323.57,4303.21,1445.16,476.34,46.5,45494.44,246.71,1390.12
TF,20190123_4110-hyb07_4110-84_12.RCC,77,6969.27,1.03,188.91,160.17,32954.12,13.35,417.87,265.92,4484.64,1041.08,512.33,58.52,50714.04,326.49,1605.77
TF,20190124_4110-hyb08_4110-85_01.RCC,91.14,7834.89,4.97,853.42,281.71,29515.05,26.51,614.79,437.48,4344.98,1198.1,417.6,58,44843.45,348,1597.47
CF,20190124_4110-hyb08_4110-86_02.RCC,62.16,6074.05,6.02,481.27,806.13,25657.8,52.14,591.56,788.08,3713.81,1068.82,481.27,62.16,38202.95,232.61,1177.11
TF,20190124_4110-hyb08_4110-87_03.RCC,160.52,5036.12,6.98,434.1,381.06,28541.74,53.04,542.97,330.81,4731.83,1185.05,329.41,76.77,46479.43,439.68,1746.17
CF,20190124_4110-hyb08_4110-88_04.RCC,65.02,4992.43,36.97,47.17,465.33,28048.65,59.92,1104.05,243.5,5183.67,798.08,275.37,75.22,40548.86,302.15,938.31
TF,20190124_4110-hyb08_4110-89_05.RCC,83.55,6525.83,9.28,311.9,486.42,27343.49,37.13,712.92,310.05,3857.94,1126.94,380.6,74.26,42934.93,341.61,1412.85
CF,20190124_4110-hyb08_4110-90_06.RCC,65.52,4726.51,1.17,474.99,521.79,31219.57,29.25,389.59,293.65,5341.9,1202.69,443.4,69.03,46388.87,394.27,1970.16
TP,20190124_4110-hyb08_4110-91_07.RCC,994.31,771.51,874.64,6.37,4576.88,3340.68,1057.97,683.67,31.83,528.35,553.81,1493.37,304.28,216.43,64.93,183.33
TP,20190124_4110-hyb08_4110-92_08.RCC,1285.63,724.71,932.38,12.85,4679.01,3762.69,563.07,998.75,40.68,746.12,333.99,1054.41,192.68,118.82,59.95,203.39
TP,20190124_4110-hyb08_4110-93_09.RCC,954.38,750.7,1101.37,11.55,4033.82,2697.26,624.71,1064.63,30.45,585.86,370.62,1098.22,268.78,96.59,60.9,255.13
TP,20190124_4110-hyb08_4110-94_10.RCC,614.86,636.26,1014.64,9.01,2775.89,2066.43,734.23,828.83,22.52,653.15,462.84,1270.27,250,81.08,41.67,263.51
TP,20190124_4110-hyb08_4110-95_11.RCC,533.43,665.75,329.98,6.62,3685.2,2315.66,879.12,912.2,23.98,431.7,406.89,1077.61,201.79,76.09,41.35,157.13
TP,20190124_4110-hyb08_4110-96_12.RCC,1190.99,823.17,458.14,3.72,4416.63,2902.51,657.42,430.21,29.8,490.74,364.09,1145.36,179.72,78.22,54.01,172.27
